gvkey,datadate,conm,ipodate,rdq,datacqtr,datafqtr,cusip,cik,tic,sic,addzip,exchg,fic,atq,ltq,saleq,revtq,cogsq,oibdpq,ibq,txditcq,txdbq,itccy,actq,lctq,dlcq,dlttq,mibq,mibtq,cheq,seqq,ceqq,niq,dpq,wcapchy,capxy,ppentq,loq,xrdq,pstkrq,pstkq,cshoq,prccq
001690,1979-12-31,APPLE INC,1980-12-12,,1979.75,1980,037833100,0000320193,AAPL,3663,95014,14,USA,24.636,12.262,19.54,19.54,10.545,,2.647,0.376,,,23.052,11.689,,0.197,,,4.968,12.374,12.374,2.647,,,,1.188,0,,0,0,43.575,
001690,1980-03-31,APPLE INC,1980-12-12,,1980,1980.25,037833100,0000320193,AAPL,3663,95014,14,USA,30.353,14.632,23.55,23.55,13.268,,2.788,0.2,,,28.367,14.244,,0.188,,,5.361,15.721,15.721,2.788,,,,1.55,0,,0,0,45.838,
001690,1980-06-30,APPLE INC,1980-12-12,,1980.25,1980.5,037833100,0000320193,AAPL,3663,95014,14,USA,41.707,21.926,32.569,32.569,19.083,,2.735,0.523,,,37.93,20.976,,0.427,,,0.415,19.781,19.781,2.735,,,,2.472,0,,0,0,46.158,
001690,1980-09-30,APPLE INC,1980-12-12,,1980.5,1980.75,037833100,0000320193,AAPL,3663,95014,14,USA,65.35,39.401,41.467,41.467,24.433,,3.528,0.951,,,54.106,37.78,0.254,0.67,,,2.474,25.949,25.949,3.528,,,,4.779,0,,0,0,48.397,
001690,1980-12-31,APPLE INC,1980-12-12,,1980.75,1981,037833100,0000320193,AAPL,3663,95014,14,USA,162.122,31.117,67.621,67.621,36.868,16.063,7.421,1.451,,,145.72,28.866,,0.8,0,0,74.688,131.005,131.005,7.421,1.149,,,9.228,0,,0,0,54.622,34.125
001690,1981-03-31,APPLE INC,1980-12-12,,1981,1981.25,037833100,0000320193,AAPL,3663,95014,14,USA,190.739,43.693,78.765,78.765,43.057,16.39,9.175,3.086,,,173.152,39.428,,1.179,0,0,75.886,147.046,147.046,9.175,1.543,,,10.288,0,,0,0,55.237,24.5
001690,1981-06-30,APPLE INC,1980-12-12,1981-07-22,1981.25,1981.5,037833100,0000320193,AAPL,3663,95014,14,USA,222.347,58.268,90.719,90.719,45.223,22.082,11.858,6.964,,,201.262,49.914,1.113,1.39,0,0,77.638,164.079,164.079,11.858,1.864,,,15.793,0,,0,0,55.136,26
001690,1981-09-30,APPLE INC,1980-12-12,1981-10-20,1981.5,1981.75,037833100,0000320193,AAPL,3663,95014,14,USA,254.838,77.451,97.678,97.678,46.623,20.198,10.966,5.262,,,227.104,70.28,0.931,1.909,0,0,72.834,177.387,177.387,10.966,4.034,,,22.371,0,,0,0,55.309,15.25
001690,1981-12-31,APPLE INC,1980-12-12,1982-01-22,1981.75,1982,037833100,0000320193,AAPL,3663,95014,14,USA,285.186,92.894,133.553,133.553,64.089,26.285,13.562,7.254,,,249.16,83.952,,1.688,0,0,76.157,192.292,192.292,13.562,3.06,,,27.866,0,,0,0,55.421,22.125
001690,1982-03-31,APPLE INC,1980-12-12,1982-04-15,1982,1982.25,037833100,0000320193,AAPL,3663,95014,14,USA,302.389,85.1,131.019,131.019,61.809,27.307,13.817,11.12,,,263.14,72.3,,1.68,0,0,101.313,217.289,217.289,13.817,3.894,,,31.615,0,,0,0,56.488,16.875
001690,1982-06-30,APPLE INC,1980-12-12,1982-07-16,1982.25,1982.5,037833100,0000320193,AAPL,3663,95014,14,USA,323.961,89.427,142.681,142.681,64.941,29.991,15.193,10.919,,,283.437,76.377,,2.131,0,0,122.521,234.534,234.534,15.193,4.956,,,33.444,0,,0,0,56.743,12.75
001690,1982-09-30,APPLE INC,1980-12-12,1982-10-20,1982.5,1982.75,037833100,0000320193,AAPL,3663,95014,14,USA,357.787,100.695,175.808,175.808,80.606,35.182,18.734,12.887,,,317.075,85.756,1.169,2.052,0,0,153.056,257.092,257.092,18.734,4.646,,,34.483,0,,0,0,57.123,18.25
001690,1982-12-31,APPLE INC,1980-12-12,1983-01-19,1982.75,1983,037833100,0000320193,AAPL,3663,95014,14,USA,408.157,118.414,214.293,214.293,93.316,46.15,23.519,21.735,,,361.065,94.876,,1.803,0,0,191.865,289.743,289.743,23.519,5.092,,,35.749,0,,0,0,57.648,29.875
001690,1983-03-31,APPLE INC,1980-12-12,1983-04-22,1983,1983.25,037833100,0000320193,AAPL,3663,95014,14,USA,459.457,133.713,227.982,227.982,105.696,47.802,23.883,29.042,,,407.248,103.054,,1.617,0,0,209.538,325.744,325.744,23.883,5.37,,,40.523,0,,0,0,58.295,42.25
001690,1983-06-30,APPLE INC,1980-12-12,1983-07-21,1983.25,1983.5,037833100,0000320193,AAPL,3663,95014,14,USA,525.192,164.446,267.284,267.284,132.602,49.89,24.204,35.785,,,467.211,127.201,,1.46,0,0,188.631,360.746,360.746,24.204,6.372,,,51.861,0,,0,0,60.441,48.875
001690,1983-09-30,APPLE INC,1980-12-12,1983-10-25,1983.5,1983.75,037833100,0000320193,AAPL,3663,95014,14,USA,556.579,178.678,273.21,273.21,151.711,8.237,5.108,48.584,,,468.993,128.786,,1.308,0,0,143.284,377.901,377.901,5.108,5.606,,,67.05,0,,0,0,59.198,23.125
001690,1983-12-31,APPLE INC,1980-12-12,1984-01-24,1983.75,1984,037833100,0000320193,AAPL,3663,95014,14,USA,607.481,221.329,316.228,316.228,176.503,11.785,5.822,57.608,,,510.515,162.563,,1.158,0,0,187.485,386.152,386.152,5.822,6.325,7.746,13.82,75.223,0,,0,0,59.41,24.375
001690,1984-03-31,APPLE INC,1980-12-12,1984-04-17,1984,1984.25,037833100,0000320193,AAPL,3663,95014,14,USA,626.297,224.827,300.102,300.102,168.191,22.949,9.132,59.138,,,528.553,164.676,,1.014,0,0,203.444,401.47,401.47,9.132,10.137,23.67,20.895,74.199,0,,0,0,59.847,24.75
001690,1984-06-30,APPLE INC,1980-12-12,1984-07-16,1984.25,1984.5,037833100,0000320193,AAPL,3663,95014,14,USA,707.952,283.61,422.143,422.143,242.052,31.842,18.295,63.977,,,611.341,218.759,,0.874,0,0,194.286,424.342,424.342,18.295,5.041,52.376,26.764,72.311,0,,0,0,60.117,26.5
