,Mkt-RF,SMB,HML,WML
192701,-0.06,-0.56,4.83,0.44
192702,4.18,-0.1,3.17,-1.32
192703,0.13,-1.6,-2.67,3.59
192704,0.46,0.43,0.6,4.17
192705,5.44,1.41,4.93,2.96
192706,-2.34,0.47,-1.53,0.53
192707,7.26,-3.23,-1.16,4.29
192708,1.97,-0.72,-3.69,1.14
192709,4.76,-3.57,-0.71,1.89
192710,-4.31,2.13,-4.33,-1.08
192711,6.58,2.76,-0.31,-0.67
192712,2.09,0.93,-1.06,3.15
192801,-0.68,4.25,-0.72,-0.6
192802,-1.7,-2.03,-0.69,-1.09
192803,8.81,-0.26,-1.2,4.87
192804,4.23,3.82,3.67,-5.65
192805,1.52,2.98,-3.46,2.85
192806,-4.85,-3.5,-0.06,2.05
192807,0.62,-1.35,-0.47,2.82
192808,6.68,-2.07,-2.11,3.69
192809,2.88,2.33,0.99,3.64
192810,1.33,2.27,-2.26,5.05
192811,11.81,-1.81,2.8,2.12
192812,0.36,-0.85,-0.6,1.78
192901,4.66,-3.54,-1.21,2.43
192902,-0.34,-0.39,1.68,3.08
192903,-0.89,-4.74,1.61,-0.7
192904,1.43,-1,0.6,1.89
192905,-6.39,-5.35,-1.4,-2.04
192906,9.7,-2.17,-2.76,8.79
192907,4.46,-3.88,2.66,2.95
192908,8.18,-9.52,0.06,4.67
192909,-5.47,1.17,-0.63,3.04
192910,-20.12,-4.08,7.85,4.09
192911,-12.74,-1.9,5.33,-2.02
192912,1.33,-4.33,-0.59,5.15
193001,5.61,3.54,-1.01,-5.04
193002,2.5,0.13,0.39,0.62
193003,7.1,3.43,0.15,-4.27
193004,-2.06,-0.2,-0.84,3.98
193005,-1.66,-2.04,-0.63,-0.01
193006,-16.27,-3.24,2,6.61
193007,4.12,-0.37,-1.56,-2.11
193008,0.3,-2.22,-0.78,3.92
193009,-12.75,-2.22,-5.27,11.51
193010,-8.78,-0.1,-1.35,6.89
193011,-3.04,2.21,-3.53,-1.18
193012,-7.83,-4.67,-5.4,13.27
193101,6.24,3.77,7.16,-10.82
193102,10.88,3.38,1.61,-14.37
193103,-6.43,3.07,-3.66,9.46
193104,-9.98,-4.62,-3.94,11.59
193105,-13.24,5.17,-6.58,9.1
193106,13.9,-5.38,11.31,-17.81
193107,-6.62,1.43,-2.1,8.08
193108,0.41,-1.97,-1.49,-3.52
193109,-29.13,0.56,-6.75,10.23
193110,8.04,-1.87,1.7,3.2
193111,-9.08,4.3,-5.05,7.69
193112,-13.53,-0.56,-8.86,14.22
193201,-1.58,3.94,9.04,-10.37
193202,5.46,-2.77,-1.45,1.62
193203,-11.21,2.27,-2.32,10.33
193204,-17.96,1.44,1.42,6.95
193205,-20.51,3.91,-2.99,12.2
193206,-0.7,0.34,5.3,2.1
193207,33.84,-4.44,35.46,-43.94
193208,37.06,14.29,33.03,-52.27
193209,-2.94,-2.44,-6.82,2.44
193210,-13.17,-2.76,-10.05,4.29
193211,-5.88,2.08,-13.28,-2.07
193212,4.4,-8.27,-8.17,5.26
193301,1.25,0.69,6.23,-1.5
193302,-15.24,-2.75,-2.73,4.17
193303,3.29,3.9,7.38,2.21
193304,38.85,4.56,17.43,-15.95
193305,21.43,36.7,19.03,-3.91
193306,13.11,8.56,-2.05,3.38
193307,-9.63,-1.01,3.27,0.39
193308,12.05,-5.45,2.96,7.55
193309,-10.65,-0.32,-11.77,1.65
193310,-8.36,-0.08,-8.46,-2.4
